Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flagcountry|Nazi Germany}},Albert KesselringWolfram von Richthofen,105 Junkers Ju 88 A-4 bombers,One aircraft destroyed,{{UK}},"Harold Alexander, 1st Earl Alexander of Tunis|Harold AlexanderArthur Coningham (RAF officer)|Arthur Coningham",,"28 ships sunkharbor extensively damaged1,000 military and merchant marine personnel killed1,000 civilians killedrefAtkinson, pp. 275&#8211;276.&lt;/ref&gt;"
{{flag|Canada|1921}},{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},"{{#tag:ref|Mainly Canadian. Includes losses to the Loyal Edmonton Regiment of 172 casualties, of which 63 killed; the Seaforth Highlanders 103, of which 41 killed.|ref|{{Cite web| author=Landry, Pierre| editor=Beauregard, Marc| url=http://www.junobeach.org/e/2/can-eve-rod-ita-ort-e.htm| title=Juno Beach Center: The Capture of Ortona| year=2003| accessdate=2007-09-27| archiveurl= https://web.archive.org/web/20070927215107/http://www.junobeach.org/e/2/can-eve-rod-ita-ort-e.htm| archivedate= 27 September 2007 | deadurl= no}}|| Sources are often confused between figures for the eight days of fighting at Ortona and those for the whole of the December campaign. Zuehlke gives Canadian losses for this period of 1375 dead and 964 wounded|ref| name=""CCas""| while the Canadiansoldiers.com website says casualties for Canadian 1st Infantry Division in December (including 1st Brigade's crossing of the Moro, 2nd Brigade's fighting in the town and 3rd Brigade's attempted outflanking attack) totaled 4,206 including 695 killed.|ref|{{Cite web| url= http://www.canadiansoldiers.com/mediawiki-1.5.5/index.php?title=Ortona|title=Canadiansoldiers.com: Ortona| accessdate=2007-09-27 |archiveurl = https://web.archive.org/web/20070926225422/http://www.canadiansoldiers.com/mediawiki-1.5.5/index.php?title=Ortona |archivedate = 2007-09-26}}||group|=|nb}}",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"867 killed.ref{{Cite web| author=Fabio Toncelli| editor=Sd Cinematografica| url=http://www.casaberardi.it/images/stories/file/PDF/natale-di-sangue-Ortona1943-SdCinematografica.pdf| title=ORTONA 1943: UN NATALE DI SANGUE, Page 10.| accessdate=2015-08-31}}&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,
{{flag|United Kingdom}},{{flagicon|United Kingdom}},4 Infantry Divisions2 Armoured Brigades,{{flagicon|Canada|1921}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},1 ''Panzer'' Division1 Parachute Division2 ''Panzergrenadier'' Divisions,Unknown
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"240,000 men, 1,900 tanks, 4,000 planesref name=""Farrington, K 1995 p. 45""Farrington, K, (1995), ''Battle for Victory''. Bookmart Ltd, p. 45&lt;/ref&gt;","55,000 casualtiesref name=""Axelrod208""{{cite book |title=Real History Of World War II: A New Look at the Past |last=Axelrod |first=Alan |authorlink=Alan Axelrod |publisher=Sterling Publishing Co Inc |year=2008 |page=208 |isbn=978-1-4027-4090-9 |oclc= |location=New York}}&lt;/ref&gt;",{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},{{citation needed|date|=|July 2013}},"~20,000 casualtiesref name=""Axelrod208"""
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,
{{flag|United States|1912}},{{flagicon|United Kingdom}},{{sfn|Frieser|2007|p|=|1148}},"43,000 men (7,000 killed, 36,000 wounded or missing)ref name=""d'Este490""{{harvnb|d'Este|1991|p=490}}&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"40,000 men (5,000 killed, 30,500 wounded or missing, 4,500 prisoner)ref name=""d'Este490"""
{{flag|United States|1912}},{{flagicon|United States|1912}},,"761 Casualties,  Of which: 311 killed & 450 POWsref name=""Zaloga S. 2005, p. 44""Zaloga S. (2005), p. 44&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,"400 Casualtiesref name=""Zaloga S. 2005, p. 44"""
{{flag|Poland}},Władysław AndersKlemens Rudnicki,"~50,000","496 killed1,789 wounded139 missingref name=Wawer4",{{flagcountry|Nazi Germany}},Harry Hoppe,,"800 killed3,000 capturedrefOlgierd Terlecki, Beryl Arct, ''Poles in the Italian campaign, 1943-1945'', Interpress for the Council for Protection of Monuments of Struggle and Martyrdom, 1972, p. 101&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},United States Army North|U.S. Fifth ArmyEighth Army (United Kingdom)|British Eighth ArmyBrazilian Expeditionary Force,"40,000refThe lost evidence- Monte Cassino- history channel{{verify source|date=December 2008}}&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},10th Army (Wehrmacht)|German 10th Army14th Army (Wehrmacht)|German 14th ArmyArmy Group Liguria,
{{flag|Nazi Germany}},Lieutenant-general (United Kingdom)|Lt-Gen Traugott Herr,German LXXVI Panzer Corps,{{citation needed|date|=|November 2013}},{{flag|United Kingdom}},Lt-Gen Charles Keightley,V Corps (United Kingdom)|British V Corps,{{citation needed|date|=|November 2013}}
{{flag|Nazi Germany}},Harry Hoppe,,274 killed,{{flag|United Kingdom}},Arthur Holworthy,,323 killed
{{flag|United States|1912}},{{flagicon|United States|1912}},"18,000 men, 120 tanks, 140 artillery pieces","nearly 1,000 killed/missing in action, 300+ prisoners taken",{{flag|Italian Social Republic}},{{flagicon|Italian Social Republic}},"9,100 men, 100 artillery pieces","about 1,000 killed/missing in action"
{{flag|Brazil|1889}},{{flagicon|Brazil|1889}},{{flagicon|Brazil|1889}},{{flagicon|Brazil|1889}},{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}}
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"{{#tag:ref|Total army group strength including Lines of Communication and support troops totalled 1,333,856|ref| name=""Jackson230""|Jackson, p. 230.||group|=|nb}}","{{#tag:ref|From 9 April 1945 until the end of Operation Grapeshot, thus casualties exclude those suffered during the preliminary operations.5th Army: 7,965 casualties. American: 6,834 (1,288 killed, 5,453 wounded and 93 missing) casualties; South African: 537 (89 killed, 445 wounded and 3 missing) casualties; Brazilian: 594 (65 killed, 482 wounded and 47 missing) casualties.8th Army: 7,193 casualties. British: 3,068 (708 killed, 2,258 wounded and 102 missing) casualties; New Zealand: 1,381 (241 killed and 1,140 wounded) casualties; Indian: 1,076 (198 killed, 863 wounded and 15 missing) casualties; Colonial: 46 (11 killed and 35 wounded) casualties; Polish: 1,622 (260 killed, 1,355 wounded and 7 missing) casualties.Italians fighting with both armies: 1,100 (242 killed, 828 wounded and 30 missing) casualties.|ref| name=""Jackson334""|Jackson, p. 334||group|=|nb}}",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"{{#tag:ref|In addition the army group had 91,000 Lines of Communication and anti-aircraft troops and controlled a further 100,000 local police|ref| name=""Jackson236""|group|=|nb}}","{{#tag:ref|British estimated around 30,000 casualties were inflicted upon the Axis forces during this offensive, while a German staff officer estimated 32,000 casualties suffered during Operation Grapeshot.|ref| name=""Jackson334""|group|=|nb}}"
{{flagicon|Poland}},{{flagicon|Poland}},,{{flagicon|Poland}},{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},,"Unknown, but heavy"
{{flag|United States|1912}},{{flagicon|United States Navy|1912}},{{refn|USCGC|Taney|WHEC-37| |group|=|nb}},{{refn|USS|Utah|BB-31|2| and |USS|Oglala|CM-4|2|group|=|nb}},{{flag|Empire of Japan|name|=|Imperial Japan}},{{flagicon|Empire of Japan|naval}},'''Carrier Striking Task Force|Mobile Unit:'''6 aircraft carriers2 battleships2 heavy cruisers1 light cruiser9 destroyers8 tankers23 fleet submarines5 midget submarines414 aircraft,4 midget submarines sunk1 midget submarine grounded29 aircraft destroyed64 killed1 Kazuo Sakamaki|sailor capturedref{{Harvnb|Gilbert|2009|p=272}}.&lt;/ref&gt;
{{flag|United States|1912}},{{flagicon|USA|1912}},'''Land:'''547 Marine (military)|marines and sailors'''Sea:'''1 Minesweeper (ship)|minesweeper2 patrol boats1 cargo ship|freighter,17 killed35 wounded406 captured1 minesweeper scuttled1 patrol boat scuttled1 patrol boat captured1 freighter damaged,{{flagcountry|Empire of Japan}},{{flagicon|Empire of Japan|army}},"'''Land:'''5,900 infantry and marines'''Sea:'''4 heavy cruisers4 destroyers2 gunboats6 submarine chasers2 minesweepers2 Destroyer tender|tenders'''Air:'''unknown air forces",1 killed6 wounded1 aircraft destroyed
{{flagcountry|Empire of Japan}},"Shigeyoshi Inoue, Sadamichi Kajioka, Shigematsu Sakaibara, Eiji Gotō, Tamon Yamaguchi","'''First Attempt (11&nbsp;December):'''3 light cruisers 6 destroyers2 patrol boats2 troop transports'''Reinforcements arriving for Second Attempt (23&nbsp;December):''' 2 aircraft carriers2 heavy cruisers  2 destroyers  2,500 infantryrefNaval and air personnel not included.&lt;/ref&gt;","{{#tag:ref|USMC History estimates 21 aircraft shot down and 51 aircraft damaged by flak.|ref| name=""The Defense of Wake""|{{cite web|title=The Defense of Wake|url=http://www.ibiblio.org/hyperwar/USMC/Wake/USMC-M-Wake-III.html|website=Ibiblio.org/}}||group|=|Note}}",{{flag|United States|1912}},{{POW}},"449 USMC personnel consisting of: *399 infantry of the 1st Defense Battalion*50 VMF-211|det. VMF-2116 coastal artillery pieces, 12 aircraft, 12 anti-aircraft guns68 U.S. Navy personnel5 U.S. Army personnel","52 killed49 wounded2 missing12 aircraft lostrefMartin Gilbert, the Second World War (1989) pg 282&lt;/ref&gt;433 capturedref20 later died in captivity&lt;/ref&gt;"
{{flag|United States|1912}},"Robert Alfred TheobaldSimon Bolivar Buckner, Jr.Archibald V. Arnold",37th Infantry Regiment (United States)|37th Infantry Regiment206th Field Artillery Regiment (United States)|206th Coast Artillery (AA)1 search light battery 6 anti-aircraft batteriesU.S. Marines|marines30 fighter aircraft|fighters,"78 deadunknown wounded3 captured14 aircraft destroyedFort Mears moderately damagedDutch Harbor moderately damaged, 1 barracks ship destroyed",{{flagcountry|Empire of Japan}},Kakuji Kakuta,2 light carrier|aircraft carriers3 cruisers5 destroyers40 fighters21 torpedo bombers21 dive bombers4 surveillance aircraft|reconnaissance aircraft,"10 deadunknown wounded5 captured7 aircraft destroyedrefhttps://books.google.com.pe/books?id=p01bFVagOJYC&amp;pg=PA8&amp;lpg=PA8&amp;dq=Aleutian+Warriors+225+aircraft&amp;source=bl&amp;ots=njeUWFAgMi&amp;sig=sOwUK-bMKiwtQb-osKTOVuMQzvo&amp;hl=es-419&amp;sa=X&amp;ved=0ahUKEwjm3vz6g4fTAhVDQCYKHTAdDdcQ6AEIIDAB#v=onepage&amp;q=losses&amp;f=false Alaska at War, 1941&#8211;1945: The Forgotten War Remembered  ''p.394'']&lt;/ref&gt;"
{{flag|United States|1912}},Lieutenant|Lt. Mulls(Not present during initial landing)refhttp://www.hlswilliwaw.com/aleutians/Aleutians/html/wwii_kiska_navy_crew_listing.htm&lt;/ref&gt;,"10-man weather station, 1-6 dogs, 3 aircraftrefhttp://www.hlswilliwaw.com/aleutians/Aleutians/html/wwii_kiska_navy_crew_listing.htm&lt;/ref&gt;","2 killed7 captured, 1 escaped (later surrendered)",{{flagcountry|Empire of Japan}},{{flagicon|Empire of Japan}},"+500 Japanese Special Naval Landing Forces|Special Naval Landing Forces (Initial force)5,183-5,400 civilians and soldiers (Occupation)refhttp://www.pacificwrecks.com/provinces/alaska_kiska.html&lt;/ref&gt;","No casualties during initial capture, or during occupation/withdraw."
{{flag|United States|1912}},N/A,N/A,1 civilian killed46 civilians captured,{{flag|Empire of Japan}},{{flagicon|Empire of Japan|army}},"1,140 - 2,900",unknown
{{flag|United Kingdom}},{{flagicon|UK}},"14,564 troops1 destroyer1 gunboat","{{efn|Figures taken from Christopher Maltby, the Commander British Forces in Hong Kong|sfn|Banham|2005|p|=|317}}",{{flagcountry|Empire of Japan}},{{flagicon|Empire of Japan|army}},"29,700 troops47 planes1 cruiser3 destroyers4 torpedo boats3 gunboats",{{sfn|Ishiwari|1956|pp|=|47–48}}
{{flagcountry|Empire of Japan}},{{flagicon|Empire of Japan|army}},"129,435 troopsrefhttp://www.history.army.mil/books/wwii/MacArthur%20Reports/MacArthur%20V1/Images/p_002.jpg Reports of General MacArthur] Order of Battle plate. The total includes all elements of divisions assigned to the 14th Army at some point in the campaign, and replacements. The maximum strength of Japanese ground forces was approx. 100,000. The total does not include 12000+ Army air force personnel, whose totals were drastically reduced after 1 January 1942.&lt;/ref&gt;90 tanks541 aircraft","Japanese source:'''11,225''' 4,130 killed 287 missing 6,808 woundedref{{cite book|title=Senshi S&#333;sho (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}&lt;/ref&gt;----Allied estimate: '''17,000–19,000'''ref{{cite book |date=3 October 2003 |title=Philippine Islands |url=http://www.history.army.mil/brochures/pi/PI.htm |publisher=Center of Military History, U.S. Army |page=19 |quote=Since 6 January the Japanese had suffered 7,000 battle casualties, with another 10,000 to 12,000 men dying of disease. }}&lt;/ref&gt;",{{flag|United States|1912}},{{flagicon|USA|1912}},"151,000 troopsrefhttp://www.history.army.mil/books/wwii/5-2/5-2_2.htm#p25 The Fall of the Philippines] p. 18. The Philippine Army totalled 120,000 and the Army of the United States 31,000.&lt;/ref&gt;, 108 M3 Stuart|tanksref name=""The Fall of the Philippines""http://www.history.army.mil/books/wwii/5-2/5-2_3.htm#p32 ''The Fall of the Philippines''], p.33.&lt;/ref&gt;, 277 aircraftrefhttp://www.history.army.mil/books/wwii/5-2/5-2_3.htm#p32 ''The Fall of the Philippines''], p.42. Total includes 175 fighters and 74 bombers.&lt;/ref&gt;","'''146,000''' 25,000 killed 21,000 wounded 100,000 capturedrefhttps://books.google.com/books?id=400EAAAAMBAJ&amp;printsec=frontcover&amp;source=gbs_hp#v=onepage&amp;q=&amp;f=false Life Magazine gives a total of 36,583 US/Filipino troops captured 9 April 1942]&lt;/ref&gt;"
{{flag|United States|1912}},{{flagicon|United States|1912}},"120,000 U.S. and Filipino troops","'''105,000''', 10,000 killed,20,000 wounded,76,000 imprisonedref name=imprisoned{{cite web |url=https://www.pbs.org/thewar/detail_5209.htm |title=The Philippines (Bataan) (1942) |author=&lt;!--Not stated--&gt; |date=2005 |website=The War |publisher=WETA |access-date= |quote= The 76,000 prisoners of war of the battle for Bataan - some 64,000 Filipino soldiers and 12,000 U.S. soldiers - then were forced to endure what came to be known as the Bataan Death March as they were moved into captivity.}}&lt;br/&gt;{{cite web |url=https://www.britannica.com/event/Bataan-Death-March |title=Bataan Death March |author=Elizabeth M. Norman |author2=Michael Norman |date=6 March 2017 |website=Encyclop&#230;dia Britannica |access-date= |quote=Bataan Death March, march in the Philippines of some 66 miles (106 km) that 76,000 prisoners of war (66,000 Filipinos, 10,000 U.S.) were forced by the Japanese military to endure in April 1942, during the early stages of World War II. }}&lt;br/&gt;{{cite news |url=http://news.mb.com.ph/2017/04/09/u-s-salutes-filipino-vets/ |title=U.S. salutes Filipino vets |author=Roy C. Mabasa |date=9 April 2017 |work=Manila Bulletin |access-date=9 April 2017 }}&lt;br/&gt;{{cite book|author=Eric Morris|title=Corregidor: The American Alamo of World War II|url=https://books.google.com/books?id=pA_OZODFKmkC&amp;pg=PA405|date=5 September 2000|publisher=Cooper Square Press|isbn=978-1-4616-6092-7|page=405}}&lt;br/&gt;{{cite book|author=Oliver L. North|title=War Stories II: Heroism in the Pacific|url=https://books.google.com/books?id=sgYHvMAgSyAC&amp;pg=PA326|date=28 March 2012|publisher=Regnery Publishing|isbn=978-1-59698-305-2|page=326}}&lt;/ref&gt;",{{flag|Empire of Japan|name|=|Japan}},{{flagicon|Empire of Japan|name|=|Japan}},"75,000 Japanese troops","'''8,406'''ref{{cite book|title=Senshi S&#333;sho (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}&lt;/ref&gt;-'''22,250'''ref{{cite book|author=Irvin Alexander|title=Surviving Bataan and Beyond: Colonel Irvin Alexander's Odyssey as a Japanese Prisoner of War|url=https://books.google.com/books?id=aWfqFW_OFmQC&amp;pg=PA272|date=April 2005|publisher=Stackpole Books|isbn=978-0-8117-3248-2|page=272}}&lt;br/&gt;{{cite book|author=Yuma Totani|title=Justice in Asia and the Pacific Region, 1945-1952|url=https://books.google.com/books?id=3RdoBgAAQBAJ&amp;pg=PA25|date=16 February 2015|publisher=Cambridge University Press|isbn=978-1-107-08762-0|page=25}}&lt;/ref&gt;, 3,107 killed,230 missing, 5,069 wounded,"
{{flag|United States|1912}},{{flagicon|United States|1912}},"13,000 U.S. and Filipino troops, 2 gunboats, and 1 minesweeper","800 killed1,000 wounded11,000 POWs1 gunboat sunk1 gunboat scuttled1 minesweeper scuttled",{{flagcountry|Empire of Japan}},{{flagicon|Empire of Japan}},"75,000 Japanese troops","900 killed1,200 wounded"
{{flagicon|Netherlands}},{{flagicon|UK}},"148,000 troopsrefDoes not include naval personnel&lt;/ref&gt;* 100,000 local troopsref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;* 40,000 Dutch troopsref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;* 8,000 Anglo-American troopsref name=""subversionasforeignpolicy""George McTurnan Kahin and Adrian Kahin, ''Subversion as Foreign Policy'', New York: The New Press, 1995 ({{ISBN|1565842448}}), Pp 22&lt;/ref&gt;33 warshipsref name=""Morison 1948 pp. 158, 271""Morison (1948), pp. 158, 271&amp;ndash;273, 293 and 311&lt;/ref&gt;41 submarinesref name=""submarinewar""{{cite web|url= http://www.dutcheastindies.webs.com/under_sea.html |title=Submarine War in the Dutch East Indies (1941-1942)|accessdate=31 August 2010|date=1999&#8211;2000|work= |publisher=Dutch East Indies Campaign website}}&lt;/ref&gt;234 aircraftref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;","2,384 killed, 100,000+ capturedrefhttp://www.history.army.mil/books/amh-v2/amh%20v2/chapter3.htm ""WORLD WAR II: THE DEFENSIVE PHASE""], US Army Center Of Military History, p. 87&lt;/ref&gt;",{{Flagcountry|Empire of Japan}},{{flagicon|Empire of Japan|army}},"52 warshipsrefMorison (1948), pp. 274&amp;ndash; 276, 296, 384&lt;/ref&gt;ref name=""Morison 1948, pp. 275&#8211;276""Morison (1948), pp. 275&amp;ndash;276&lt;/ref&gt;18 submarinesref name= ""submarinewar""107,800 personnel, 193 tanks and tankettes, 2,017 artillery pieces, 5,898 motor vehicles, 11,750 horses609 aircraftrefhttps://openaccess.leidenuniv.nl/bit...pdf?sequence=1 The Invasion of the Dutch East Indies] p. 95, 98, 417. Retrieved 11/21/2017&lt;/ref&gt;","671 killedrefFrancis Pike, https://books.google.com/books?id=2IYQCAAAQBAJ&amp;pg=PA309&amp;dq=surrendered+east+indies+campaign&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwju4OKpgePLAhUOx2MKHaA1CJkQ6AEILTAD#v=onepage&amp;q=surrendered%20east%20indies%20campaign&amp;f=false ""Hirohito's War: The Pacific War, 1941-1945""], 2015, p. 309.&lt;/ref&gt;"
{{flag|Empire of Japan}},{{flagdeco|Empire of Japan|army}},"4,500 infantry, 2 heavy cruisers, 1 light cruiser, 6 destroyers, 1 submarine chaser, 1 seaplane tender, 1 minesweeper, 1 submarine, 1 collier, 10 transports","567+ casualties, 2 destroyers sunk, 1 minesweeper sunk, 1 collier sunk, 2 transports sunk, 1 transport beached, 1 transport damaged",{{flag|United Kingdom}},{{flagdeco|United Kingdom}},"1,000 Sarawak Force1,000 British Punjab Regiment1,000 KNIL650 police5 fighters, Unknown bomber strength, 3 flying boats, 2 submarines","2,300 casualties, 1 flying boat destroyed, 1 submarine sunk"
